x.lo.l,y.lo.l,x.lo.r,y.lo.r,x.med.l,y.med.l,x.med.r,y.med.r,x.hi.l,y.hi.l,x.hi.r,y.hi.r
-1.87364,3.98622,1.84740,-3.97166,-1.83591,3.98613,1.77461,-3.97174,-1.76504,3.98597,1.73495,-3.97190
-1.87364,3.94937,1.84740,-3.93481,-1.83591,3.94929,1.77461,-3.93490,-1.76504,3.94913,1.73495,-3.93506
-1.87364,3.91253,1.84740,-3.89797,-1.83591,3.91245,1.77461,-3.89806,-1.76504,3.91229,1.73495,-3.89822
-1.87364,3.87569,1.84740,-3.86113,-1.83591,3.87560,1.77461,-3.86122,-1.76504,3.87545,1.73495,-3.86137
-1.87364,3.83885,1.84740,-3.82429,-1.83591,3.83876,1.77461,-3.82437,-1.76504,3.83860,1.73495,-3.82453
-1.87364,3.80201,1.84740,-3.78745,-1.83591,3.80192,1.77461,-3.78753,-1.76504,3.80176,1.73495,-3.78769
-1.87364,3.76516,1.84740,-3.75060,-1.83591,3.76508,1.77461,-3.75069,-1.76504,3.76492,1.73495,-3.75085
-1.87364,3.72832,1.84740,-3.71376,-1.83591,3.72824,1.77461,-3.71385,-1.76504,3.72808,1.73495,-3.71401
-1.87364,3.69148,1.84740,-3.67692,-1.83591,3.69139,1.77461,-3.67701,-1.76504,3.69124,1.73495,-3.67716
-1.87364,3.65464,1.84740,-3.64008,-1.83591,3.65455,1.77461,-3.64016,-1.76504,3.65439,1.73495,-3.64032
-1.87364,3.61780,1.84740,-3.60324,-1.83591,3.61771,1.77461,-3.60332,-1.76504,3.61755,1.73495,-3.60348
-1.87364,3.58095,1.84740,-3.56639,-1.83591,3.58087,1.77461,-3.56648,-1.76504,3.58071,1.73495,-3.56664
-1.87364,3.54411,1.84740,-3.52955,-1.83591,3.54403,1.77461,-3.52964,-1.76504,3.54387,1.73495,-3.52980
-1.87364,3.50727,1.84740,-3.49271,-1.83591,3.50718,1.77461,-3.49280,-1.76504,3.50703,1.73495,-3.49295
-1.87364,3.47043,1.84740,-3.45587,-1.83591,3.47034,1.77461,-3.45595,-1.76504,3.47018,1.73495,-3.45611
-1.87364,3.43359,1.84740,-3.41903,-1.83591,3.43350,1.77461,-3.41911,-1.76504,3.43334,1.73495,-3.41927
-1.87364,3.39674,1.84740,-3.38218,-1.83591,3.39666,1.77461,-3.38227,-1.76504,3.39650,1.73495,-3.38243
-1.87364,3.35990,1.84740,-3.34534,-1.83591,3.35982,1.77461,-3.34543,-1.76504,3.35966,1.73495,-3.34559
-1.87364,3.32306,1.84740,-3.30850,-1.83591,3.32297,1.77461,-3.30859,-1.76504,3.32282,1.73495,-3.30874
-1.87364,3.28622,1.84740,-3.27166,-1.83591,3.28613,1.77461,-3.27174,-1.76504,3.28597,1.73495,-3.27190
-1.87364,3.24938,1.84740,-3.23482,-1.79907,3.24929,1.77461,-3.23490,-1.76504,3.24913,1.73495,-3.23506
-1.87364,3.21253,1.84740,-3.19797,-1.79907,3.21245,1.77461,-3.19806,-1.76504,3.21229,1.73495,-3.19822
-1.87364,3.17569,1.84740,-3.16113,-1.83591,3.17561,1.77461,-3.16122,-1.76504,3.17545,1.69811,-3.16138
-1.87364,3.13885,1.84740,-3.12429,-1.79907,3.13876,1.77461,-3.12438,-1.76504,3.13861,1.69811,-3.12453
-1.87364,3.10201,1.81056,-3.08745,-1.79907,3.10192,1.77461,-3.08753,-1.76504,3.10176,1.69811,-3.08769
-1.87364,3.06517,1.81056,-3.05061,-1.79907,3.06508,1.77461,-3.05069,-1.76504,3.06492,1.69811,-3.05085
-1.87364,3.02832,1.84740,-3.01376,-1.79907,3.02824,1.77461,-3.01385,-1.76504,3.02808,1.69811,-3.01401
-1.87364,2.99148,1.84740,-2.97692,-1.83591,2.99140,1.77461,-2.97701,-1.76504,2.99124,1.69811,-2.97717
-1.87364,2.95464,1.84740,-2.94008,-1.83591,2.95455,1.77461,-2.94017,-1.76504,2.95440,1.69811,-2.94032
-1.87364,2.91780,1.84740,-2.90324,-1.83591,2.91771,1.77461,-2.90332,-1.76504,2.91755,1.73495,-2.90348
-1.87364,2.88096,1.84740,-2.86640,-1.83591,2.88087,1.77461,-2.86648,-1.76504,2.88071,1.73495,-2.86664
-1.87364,2.84411,1.84740,-2.82955,-1.83591,2.84403,1.77461,-2.82964,-1.76504,2.84387,1.73495,-2.82980
-1.87364,2.80727,1.84740,-2.79271,-1.83591,2.80719,1.77461,-2.79280,-1.76504,2.80703,1.73495,-2.79296
-1.87364,2.77043,1.84740,-2.75587,-1.83591,2.77034,1.77461,-2.75596,-1.76504,2.77019,1.73495,-2.75611
-1.87364,2.73359,1.84740,-2.71903,-1.83591,2.73350,1.77461,-2.71911,-1.76504,2.73334,1.73495,-2.71927
-1.87364,2.69675,1.84740,-2.68219,-1.83591,2.69666,1.77461,-2.68227,-1.76504,2.69650,1.73495,-2.68243
-1.87364,2.65990,1.84740,-2.64534,-1.79907,2.65982,1.77461,-2.64543,-1.76504,2.65966,1.73495,-2.64559
-1.87364,2.62306,1.84740,-2.60850,-1.79907,2.62298,1.77461,-2.60859,-1.76504,2.62282,1.73495,-2.60875
-1.87364,2.58622,1.84740,-2.57166,-1.79907,2.58613,1.77461,-2.57175,-1.76504,2.58598,1.69811,-2.57190
-1.87364,2.54938,1.84740,-2.53482,-1.79907,2.54929,1.77461,-2.53490,-1.76504,2.54913,1.69811,-2.53506
-1.87364,2.51254,1.81056,-2.49798,-1.79907,2.51245,1.77461,-2.49806,-1.76504,2.51229,1.69811,-2.49822
-1.87364,2.47569,1.81056,-2.46113,-1.79907,2.47561,1.77461,-2.46122,-1.76504,2.47545,1.69811,-2.46138
-1.87364,2.43885,1.81056,-2.42429,-1.79907,2.43877,1.73776,-2.42438,-1.76504,2.43861,1.69811,-2.42454
-1.87364,2.40201,1.81056,-2.38745,-1.79907,2.40192,1.77461,-2.38754,-1.76504,2.40177,1.69811,-2.38769
-1.87364,2.36517,1.81056,-2.35061,-1.79907,2.36508,1.77461,-2.35069,-1.76504,2.36492,1.69811,-2.35085
-1.87364,2.32833,1.81056,-2.31377,-1.79907,2.32824,1.77461,-2.31385,-1.76504,2.32808,1.69811,-2.31401
-1.87364,2.29148,1.81056,-2.27692,-1.79907,2.29140,1.77461,-2.27701,-1.76504,2.29124,1.69811,-2.27717
-1.87364,2.25464,1.81056,-2.24008,-1.79907,2.25456,1.77461,-2.24017,-1.76504,2.25440,1.69811,-2.24033
-1.87364,2.21780,1.84740,-2.20324,-1.79907,2.21771,1.77461,-2.20333,-1.76504,2.21756,1.69811,-2.20348
-1.87364,2.18096,1.84740,-2.16640,-1.83591,2.18087,1.77461,-2.16648,-1.76504,2.18071,1.69811,-2.16664
-1.87364,2.14412,1.84740,-2.12956,-1.83591,2.14403,1.77461,-2.12964,-1.76504,2.14387,1.69811,-2.12980
-1.87364,2.10727,1.84740,-2.09271,-1.83591,2.10719,1.77461,-2.09280,-1.76504,2.10703,1.69811,-2.09296
