[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	8	Ti K-L3	0.7937	0.797948
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	10	Ti K-L3	0.7942	0.802733
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	12	Ti K-L3	0.796	0.808131
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	15	Ti K-L3	0.7978	0.814395
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	20	Ti K-L3	0.8012	0.813549
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	25	Ti K-L3	0.8042	0.822347
[B(16.78 wgt%),Ti(83.22 wgt%),Σ=100.00,4.2 g/cc]	Pure titanium	Titanium	Boron	40	30	Ti K-L3	0.8077	0.826449
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	6	Ti K-L3	0.633	0.633521
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	8	Ti K-L3	0.64	0.649997
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	10	Ti K-L3	0.6462	0.653241
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	12	Ti K-L3	0.6513	0.664992
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	15	Ti K-L3	0.6578	0.670878
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	20	Ti K-L3	0.6662	0.677549
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	25	Ti K-L3	0.6738	0.684729
[B(30.07 wgt%),Ti(69.93 wgt%),Σ=100.00,3.9 g/cc]	Pure titanium	Titanium	Boron	40	30	Ti K-L3	0.6782	0.693804
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	6	V K-L3	0.6378	0.637535
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	8	V K-L3	0.65	0.658394
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	10	V K-L3	0.6602	0.667062
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	12	V K-L3	0.6681	0.674203
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	15	V K-L3	0.677	0.680712
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	20	V K-L3	0.6878	0.689438
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	25	V K-L3	0.6939	0.697941
[B(28.40 wgt%),V(71.60 wgt%),Σ=100.00,5 g/cc]	Pure vanadium	Vanadium	Boron	40	30	V K-L3	0.6977	0.704967
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	8	Cr K-L3	0.7758	0.790906
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	10	Cr K-L3	0.784	0.7972
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	12	Cr K-L3	0.7905	0.804232
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	15	Cr K-L3	0.7981	0.804602
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	20	Cr K-L3	0.807	0.809838
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	25	Cr K-L3	0.8122	0.82391
[B(16.80 wgt%),Cr(83.20 wgt%),Σ=100.00,6.4 g/cc]	Pure chromium	Chromium	Boron	40	30	Cr K-L3	0.8156	0.821225
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	8	Cr K-L3	0.623	0.669144
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	10	Cr K-L3	0.6374	0.679295
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	12	Cr K-L3	0.648	0.684364
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	15	Cr K-L3	0.6603	0.689726
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	20	Cr K-L3	0.6738	0.698237
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	25	Cr K-L3	0.681	0.709067
[B(27.31 wgt%),Cr(72.69 wgt%),Σ=100.00,5.9 g/cc]	Pure chromium	Chromium	Boron	40	30	Cr K-L3	0.685	0.713723
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	8	Fe K-L3	0.868	0.881768
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	10	Fe K-L3	0.873	0.888142
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	12	Fe K-L3	0.8764	0.893184
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	15	Fe K-L3	0.8821	0.896782
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	20	Fe K-L3	0.8888	0.897504
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	25	Fe K-L3	0.894	0.903321
[B(8.82 wgt%),Fe(91.18 wgt%),Σ=100.00,7.4 g/cc]	Pure iron	Iron	Boron	40	30	Fe K-L3	0.897	0.907615
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	8	Fe K-L3	0.7823	0.78837
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	10	Fe K-L3	0.7922	0.799553
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	12	Fe K-L3	0.8002	0.806023
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	15	Fe K-L3	0.8098	0.810119
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	20	Fe K-L3	0.8203	0.818105
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	25	Fe K-L3	0.828	0.824877
[B(16.22 wgt%),Fe(83.78 wgt%),Σ=100.00,7 g/cc]	Pure iron	Iron	Boron	40	30	Fe K-L3	0.833	0.825552
[B(8.40 wgt%),Co(91.60 wgt%),Σ=100.00,8.2 g/cc]	Pure cobalt	Cobalt	Boron	40	10	Co K-L3	0.866	0.889119
[B(8.40 wgt%),Co(91.60 wgt%),Σ=100.00,8.2 g/cc]	Pure cobalt	Cobalt	Boron	40	12	Co K-L3	0.8832	0.894066
[B(8.40 wgt%),Co(91.60 wgt%),Σ=100.00,8.2 g/cc]	Pure cobalt	Cobalt	Boron	40	15	Co K-L3	0.898	0.897154
[B(8.40 wgt%),Co(91.60 wgt%),Σ=100.00,8.2 g/cc]	Pure cobalt	Cobalt	Boron	40	20	Co K-L3	0.9101	0.904561
[B(8.40 wgt%),Co(91.60 wgt%),Σ=100.00,8.2 g/cc]	Pure cobalt	Cobalt	Boron	40	25	Co K-L3	0.912	0.902403
