ecd.nm, circ, a.r, solidity
57.89, 0.8285, 1.0654, 0.9368
55.74, 0.8446, 1.0675, 0.9336
49.73, 0.8931, 1.0910, 0.9342
56.30, 0.8946, 1.0373, 0.9399
53.94, 0.8361, 1.0616, 0.9279
53.11, 0.8427, 1.0903, 0.9227
57.21, 0.8205, 1.0082, 0.9224
56.20, 0.9175, 1.0172, 0.9507
54.61, 0.9124, 1.0878, 0.9488
51.07, 0.8821, 1.0678, 0.9203
57.44, 0.8662, 1.1086, 0.9359
51.42, 0.8109, 1.0636, 0.9106
53.16, 0.8929, 1.0752, 0.9412
52.33, 0.8987, 1.0398, 0.9513
53.02, 0.8880, 1.0504, 0.9352
54.32, 0.8863, 1.0401, 0.9388
53.60, 0.8517, 1.0260, 0.9286
55.04, 0.8659, 1.0364, 0.9306
52.82, 0.8698, 1.0591, 0.9372
52.77, 0.8798, 1.0954, 0.9330
54.61, 0.8681, 1.0751, 0.9371
52.57, 0.8238, 1.0605, 0.9366
54.80, 0.8630, 1.0709, 0.9293
57.17, 0.8623, 1.0664, 0.9374
51.93, 0.8772, 1.0087, 0.9218
57.03, 0.9229, 1.0145, 0.9543
53.84, 0.8594, 1.0323, 0.9292
58.07, 0.8808, 1.0275, 0.9365
52.77, 0.8364, 1.1007, 0.9249
53.60, 0.8319, 1.0538, 0.9279
50.97, 0.8527, 1.0283, 0.9285
56.11, 0.9214, 1.0484, 0.9469
57.48, 0.8872, 1.0615, 0.9422
55.51, 0.8742, 1.0957, 0.9324
56.66, 0.8577, 1.0379, 0.9349
56.53, 0.8492, 1.0830, 0.9276
53.99, 0.8754, 1.0478, 0.9342
55.04, 0.8751, 1.0282, 0.9418
52.57, 0.9022, 1.0126, 0.9441
50.15, 0.8484, 1.1080, 0.9344
57.53, 0.8932, 1.1059, 0.9529
54.85, 0.9204, 1.0381, 0.9461
57.07, 0.8552, 1.0448, 0.9268
55.46, 0.9001, 1.0454, 0.9427
51.83, 0.8888, 1.1347, 0.9357
58.29, 0.8560, 1.0315, 0.9343
54.89, 0.8706, 1.0713, 0.9370
58.42, 0.8853, 1.0305, 0.9556
46.38, 0.8640, 1.0694, 0.9324
50.71, 0.9027, 1.0461, 0.9438
56.94, 0.8512, 1.0547, 0.9231
49.20, 0.8945, 1.0664, 0.9386
53.11, 0.8632, 1.0459, 0.9354
55.55, 0.8869, 1.0593, 0.9414
58.33, 0.8720, 1.0667, 0.9371
48.03, 0.8330, 1.0675, 0.9155
52.52, 0.8553, 1.0717, 0.9291
52.42, 0.8752, 1.0146, 0.9281
60.61, 0.8845, 1.1297, 0.9439
60.05, 0.9286, 1.0426, 0.9572
54.51, 0.8632, 1.0111, 0.9385
60.05, 0.8932, 1.0469, 0.9417
54.80, 0.8266, 1.0203, 0.9360
51.83, 0.9189, 1.0499, 0.9469
52.87, 0.8666, 1.0306, 0.9316
55.46, 0.8075, 1.0794, 0.9250
49.26, 0.8836, 1.0482, 0.9284
55.46, 0.9049, 1.0538, 0.9502
55.69, 0.8914, 1.0277, 0.9409
